Координаты;Город;Описание в метке;Наименование фильтра;Значение фильтра
"55.818280, 37.363925";Красногорск;"Ильинский бульвар, Красногорск, Московская область";Статус;Планируется
"55.818280, 37.363925";Красногорск;"Ильинский бульвар, Красногорск, Московская область";Тип АЗС;Медленная
"55.818280, 37.363925";Красногорск;"Ильинский бульвар, Красногорск, Московская область";Мощность;22кВт
"55.818280, 37.363925";Красногорск;"Ильинский бульвар, Красногорск, Московская область";Тип коннектора;"Type 2, розетка"
"55.913339, 37.863305";Королев;;Статус;Планируется
"55.913339, 37.863305";Королев;;Тип АЗС;Медленная
"55.913339, 37.863305";Королев;;Мощность;22кВт
"55.913339, 37.863305";Королев;;Тип коннектора;"Type 2, розетка"
"55.815732, 37.371551";Красногорск;"Красногорский бульвар, Красногорск, Московская область";Статус;Планируется
"55.815732, 37.371551";Красногорск;"Красногорский бульвар, Красногорск, Московская область";Тип АЗС;Медленная
"55.815732, 37.371551";Красногорск;"Красногорский бульвар, Красногорск, Московская область";Мощность;22кВт
"55.815732, 37.371551";Красногорск;"Красногорский бульвар, Красногорск, Московская область";Тип коннектора;"Type 2, розетка"
"55.818848, 37.369854";Красногорск;"Павшинский бульвар, Красногорск, Московская область";Статус;Планируется
"55.818848, 37.369854";Красногорск;"Павшинский бульвар, Красногорск, Московская область";Тип АЗС;Медленная
"55.818848, 37.369854";Красногорск;"Павшинский бульвар, Красногорск, Московская область";Мощность;22кВт
"55.818848, 37.369854";Красногорск;"Павшинский бульвар, Красногорск, Московская область";Тип коннектора;"Type 2, розетка"
"55.820601, 37.375571";Красногорск;"Красногорский бульвар, Красногорск, Московская область";Статус;Планируется
"55.820601, 37.375571";Красногорск;"Красногорский бульвар, Красногорск, Московская область";Тип АЗС;Медленная
"55.820601, 37.375571";Красногорск;"Красногорский бульвар, Красногорск, Московская область";Мощность;22кВт
"55.820601, 37.375571";Красногорск;"Красногорский бульвар, Красногорск, Московская область";Тип коннектора;"Type 2, розетка"
"55.824134, 37.375625";Красногорск;"жилой комплекс Прибрежный, 4-й микрорайон, микрорайон Павшинская Пойма, Красногорск";Статус;Планируется
